molecule_chembl_id,bioactivity_class,pIC50,canonical_smiles,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
CHEMBL1688151,Inactive,5.207608310501746,Nc1ccc(CCN2C(=O)c3ccccc3C2(O)c2ccc(Cl)cc2)cc1,378.113505528,3,2,3.8141000000000025,True
CHEMBL4073512,Active,7.298432014944073,Nc1ccc(C[C@H](NC(=O)CC(c2ccccc2)c2ccccc2)C(=O)O)cc1,388.1786926279999,3,3,3.6029000000000018,True
CHEMBL803,Active,7.698970004336019,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,243.085520516,8,4,-2.563,True
CHEMBL3260818,Active,8.221848749616356,Nc1nnc(-c2nc(C3CCCCC3)n(-c3cccc(Cl)c3F)c2-c2ccc(F)c(Cl)c2)o1,489.093472028,6,1,6.804200000000003,True
CHEMBL4095042,Active,7.185086818724926,O=C(CC(c1ccccc1)c1ccccc1)N[C@@H](Cc1ccc(Cl)cc1)C(=O)O,407.12882124399994,2,2,4.674100000000004,True
CHEMBL4084848,Active,7.6307841425898575,O=C(CC(c1ccccc1)c1ccccc1)N[C@@H](Cc1ccc(O)cc1)C(=O)O,389.16270821599994,3,3,3.726300000000001,True
CHEMBL4064911,Active,8.036212172654444,O=C(CC(c1ccccc1)c1ccccc1)N[C@@H](Cc1ccc(OCc2ccccc2)cc1)C(=O)O,479.20965840799994,3,2,5.599700000000005,True
CHEMBL4100348,Active,7.860120913598763,O=C(CC(c1ccccc1)c1ccccc1)N[C@@H](Cc1ccc([N+](=O)[O-])cc1)C(=O)O,418.1528718039999,4,2,3.9289000000000014,True
CHEMBL4074577,Active,7.366531544420414,O=C(CC(c1ccccc1)c1ccccc1)N[C@@H](Cc1ccccc1)C(=O)O,373.16779359599997,2,2,4.0207000000000015,True
CHEMBL4102803,Active,8.017728766960431,O=C(CC(c1ccccc1)c1ccccc1)N[C@H](Cc1ccc(O)cc1)C(=O)O,389.16270821599994,3,3,3.726300000000001,True
CHEMBL4093562,Active,8.193820026016112,O=C(NC12CC(C(=O)O)(C1)C2)[C@@H]1NC2(CCCCC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,571.144089956,4,4,4.904400000000003,True
CHEMBL3895325,Active,7.378823718224964,O=C(NC1CCC(O)CC1)[C@@H]1NC2(CCCC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,545.1648254,4,4,4.810500000000003,True
CHEMBL4099868,Active,7.684029654543083,O=C(NC1CCS(=O)(=O)CC1)[C@@H]1NC2(CCCCC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,593.1318110200001,5,3,4.474300000000003,True
CHEMBL3355420,Inactive,6.229884705212898,O=C(NCCN1CCOCC1)[C@@H]1NC2(CCC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,546.160074368,5,3,3.4491000000000023,True
CHEMBL3355419,Inactive,5.021545566634772,O=C(NCCN1CCOCC1)[C@@H]1NC2(CCC2)[C@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,546.160074368,5,3,3.4491000000000023,True
CHEMBL3355421,Active,7.67778070526608,O=C(NCCN1CCOCC1)[C@@H]1NC2(CCCCC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,574.191374496,5,3,4.229300000000003,True
CHEMBL3220113,Inactive,4.823908740944319,O=C(NCCO)C(=Cc1cc(-c2ccccc2)n(-c2ccc(Cl)cc2)c1-c1ccccc1)C(=O)NCCO,529.176834056,5,4,4.065100000000004,True
CHEMBL382422,Inactive,5.673664139071248,O=C(NCCO)[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2NC(=O)[C@@H]1c1ccc(Cl)cc1,622.98755948,4,3,4.583400000000004,True
CHEMBL3355424,Inactive,6.306273051076353,O=C(NCC[C@H](O)CO)[C@@H]1NC2(CCC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,521.1284398920001,5,5,2.8602000000000007,True
CHEMBL3355423,Inactive,5.042967683653061,O=C(NCC[C@H](O)CO)[C@@H]1NC2(CCC2)[C@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,521.1284398920001,5,5,2.8602000000000007,True
CHEMBL3355425,Active,7.522878745280337,O=C(NCC[C@H](O)CO)[C@@H]1NC2(CCCCC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,549.1597400200001,5,5,3.6404000000000014,True
CHEMBL3355414,Inactive,6.826813731587726,O=C(N[C@H]1CC[C@H](O)CC1)[C@@H]1NC2(CCC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,531.149175336,4,4,4.420400000000002,True
CHEMBL3355413,Inactive,5.764724123312948,O=C(N[C@H]1CC[C@H](O)CC1)[C@@H]1NC2(CCC2)[C@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,531.149175336,4,4,4.420400000000002,True
CHEMBL3355415,Active,7.455931955649724,O=C(N[C@H]1CC[C@H](O)CC1)[C@@H]1NC2(CCCC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,545.1648254,4,4,4.810500000000003,True
CHEMBL3693987,Inactive,6.585026652029182,O=C(N[C@H]1CC[C@H](O)CC1)[C@@H]1NC2(CCCCC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cncc(Cl)c1,542.1851462440001,5,4,4.456500000000002,True
CHEMBL4102664,Active,7.279014255846261,O=C(N[C@H]1CC[C@H](O)CC1)[C@@H]1NC2(CCCCC2)[C@@]2(C(=O)Nc3cc(Cl)ncc32)[C@H]1c1cccc(Cl)c1F,560.1757244319999,5,4,4.595600000000002,True
CHEMBL4084744,Active,7.289036881004725,O=C(N[C@H]1CC[C@H](O)CC1)[C@@H]1NC2(CCCCC2)[C@@]2(C(=O)Nc3nc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,560.1757244319999,5,4,4.595600000000002,True
CHEMBL4072394,Active,7.245651664288981,O=C(N[C@H]1CC[C@H](O)CC1)[C@@H]1NC2(CCCCC2)[C@@]2(C(=O)Nc3nc(Cl)ncc32)[C@H]1c1cccc(Cl)c1F,561.1709734000001,6,4,3.9906000000000015,True
CHEMBL4083764,Inactive,6.549750891680639,O=C(N[C@H]1CC[C@H](O)CC1)[C@@H]1NC2(CCOCC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,561.1597400200001,5,4,4.046900000000002,True
CHEMBL4084366,Active,8.154901959985743,O=C(N[C@H]1C[C@H](C(=O)O)C1)[C@@H]1NC2(CCCCC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,559.144089956,4,4,4.760300000000003,True
CHEMBL3220114,Inactive,4.769551078621726,O=C(O)/C=C/c1cc(-c2ccccc2)n(-c2ccc(Cl)cc2)c1-c1ccccc1,399.10260649599996,2,1,6.562500000000004,True
CHEMBL3693972,Active,8.0268721464003,O=C(O)CCCNC(=O)[C@@H]1NC2(CCCCC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,547.144089956,4,4,4.761900000000003,True
CHEMBL2347391,Inactive,5.0835460514500745,O=C(O)CC[C@@H]1O[C@@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N(CC2CC2)C1=O,447.10041357600005,3,1,5.278000000000005,True
CHEMBL3693982,Active,7.721246399047171,O=C(O)CN1CCC(NC(=O)[C@@H]2NC3(CCCCC3)[C@@]3(C(=O)Nc4cc(Cl)ccc43)[C@H]2c2cccc(Cl)c2F)CC1,602.186289116,5,4,4.446100000000004,True
CHEMBL2059299,Inactive,4.972650392225243,O=C(O)C[C@@H]1C[C@@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N(CC2CC2)C1=O,431.105498956,2,1,5.551500000000004,True
CHEMBL2347379,Inactive,5.091514981121351,O=C(O)C[C@@H]1C[C@@H](c2cccc(Cl)c2)[C@H](c2ccc(Cl)cc2)N(CC2CC2)C1=O,431.105498956,2,1,5.551500000000004,True
